"session_id","login_name","host_name","program_name","status","cpu_time","total_elapsed_time","logical_reads","wait_type","wait_time","blocking_session_id","current_statement"
"----------","----------","---------","------------","------","--------","------------------","-------------","---------","---------","-------------------","-----------------"
"7","sa","NULL","NULL","background","0","53953418","0","DISPATCHER_QUEUE_SEMAPHORE","53952134","0","NULL"
"15","sa","NULL","NULL","background","0","53953416","0","DISPATCHER_QUEUE_SEMAPHORE","53952135","0","NULL"
"17","sa","NULL","NULL","background","2312","53953402","0","SLEEP_TASK","55","0","NULL"
"18","sa","NULL","NULL","background","890","53953402","0","SLEEP_TASK","400","0","NULL"
"19","sa","NULL","NULL","background","0","53953387","0","SLEEP_TASK","442113","0","NULL"
"20","sa","NULL","NULL","background","0","53953346","0","WAIT_XTP_HOST_WAIT","53953263","0","NULL"
"21","sa","NULL","NULL","background","7718","53953231","0","DIRTY_PAGE_POLL","65","0","NULL"
"22","sa","NULL","NULL","background","13515","53953231","0","LAZYWRITER_SLEEP","83","0","NULL"
"23","sa","NULL","NULL","background","0","53953231","0","PVS_PREALLOCATE","53953231","0","NULL"
"24","sa","NULL","NULL","background","0","53953230","0","POPULATE_LOCK_ORDINALS","53953230","0","NULL"
"25","sa","NULL","NULL","background","7109","53953168","0","LOGMGR_QUEUE","66","0","NULL"
"26","sa","NULL","NULL","background","6281","53953153","0","LOGMGR_QUEUE","125","0","NULL"
"27","sa","NULL","NULL","background","3234","53953151","0","REQUEST_FOR_DEADLOCK_SEARCH","3201","0","NULL"
"30","sa","NULL","NULL","background","531","53953103","0","XE_TIMER_EVENT","604","0","NULL"
"31","sa","NULL","NULL","background","2703296","53953103","0","SLEEP_TASK","27","0","NULL"
"32","sa","NULL","NULL","background","0","53953103","0","XE_DISPATCHER_WAIT","53953103","0","NULL"
"36","sa","NULL","NULL","background","15","53952973","64","NULL","0","0","NULL"
"40","sa","NULL","NULL","background","234","53952788","0","SQLTRACE_INCREMENTAL_FLUSH_SLEEP","1731","0","NULL"
"41","sa","NULL","NULL","background","140","53952787","0","SP_SERVER_DIAGNOSTICS_SLEEP","171731","0","NULL"
"42","sa","NULL","NULL","background","192500","53952769","0","ONDEMAND_TASK_QUEUE","28","0","NULL"
"44","sa","NULL","NULL","background","0","53952769","180","CHECKPOINT_QUEUE","1309482","0","NULL"
"61","sa","NULL","NULL","background","0","53952763","0","HADR_NOTIFICATION_DEQUEUE","53952763","0","NULL"
"43","sa","NULL","NULL","background","0","53952140","317","BROKER_EVENTHANDLER","53952112","0","NULL"
"29","sa","NULL","NULL","background","0","53952136","0","BROKER_TRANSMITTER","53952136","0","NULL"
"45","sa","NULL","NULL","background","1906","53952134","0","HADR_FILESTREAM_IOMGR_IOCOMPLETION","85","0","NULL"
"47","sa","NULL","NULL","background","1219","53952134","0","BROKER_TO_FLUSH","215","0","NULL"
"48","sa","NULL","NULL","background","15","53952133","0","BROKER_TRANSMITTER","53952133","0","NULL"
"28","sa","NULL","NULL","background","0","53952128","0","KSOURCE_WAKEUP","53952128","0","NULL"
"68","sa","NULL","NULL","background","15","388028","0","XE_DISPATCHER_WAIT","17304","0","NULL"
"71","sa","NULL","NULL","background","0","3091","0","BROKER_TASK_STOP","3079","0","NULL"
"72","HPAI01\Peter","HPAI01","SQLCMD","running","16","21","1268","NULL","0","0","/*"
"Script Name : Get-LongRunningQueries",,,,,,,,,,,
"Category    : performance-troubleshooting",,,,,,,,,,,
"Purpose     : Identify long-running queries with current wait state","CPU","and elapsed time.",,,,,,,,,
"Author      : Peter Whyte (https://sqldba.blog)",,,,,,,,,,,
"Safe        : Read-only",,,,,,,,,,,
"Impa",,,,,,,,,,,
